,Irradiance,Real_Power_PV,Reactive_Power_Total,Real_Power_Total,Reactive_Power_PV,Apparent_PF,Load_PF,IrradianceProxy
2015-10-20 20:34:00,0.0,-8469.13841808236,187872.8287240321,3300356.251197574,20105.856083579245,0.9988437869331479,0.9985324035648883,-0.10600000000025474
2015-10-20 20:35:00,0.0,-8454.33641050789,177453.41465329268,3265745.891433928,20085.02243058248,0.9989462407765468,0.9986450220518076,-0.10600000000025474
2015-10-20 20:36:00,0.0,-8476.40154467077,160785.2872405947,3272711.553739464,20115.944535857903,0.9987234990881327,0.9983942641824546,-0.10600000000025474
2015-10-20 20:37:00,0.0,-8466.737022887457,155068.71105012568,3256699.7914162828,20099.01152189063,0.9990819927484775,0.9987984357431969,-0.10600000000025474
2015-10-20 20:38:00,0.0,-8463.425323273415,145918.91729804076,3234801.43849812,20105.930442599412,0.9991893046857497,0.9989195676680374,-0.10600000000025474
2015-10-20 20:39:00,0.0,-8499.208562612848,138130.862416855,3201124.714111587,20098.41595843812,0.9993867646187939,0.9991469099136157,-0.10600000000025474
2015-10-20 20:40:00,0.0,-8462.218545218731,139765.27082318297,3246035.855638074,20104.288609382274,0.9988350664717304,0.998517057649094,-0.10600000000025474
2015-10-20 20:41:00,0.0,-8479.02568576108,139476.2919612567,3283424.629602352,20091.07613766508,0.9979168077272205,0.997504231801082,-0.10600000000025474
2015-10-20 20:42:00,0.0,-8550.721992430192,146100.06976208137,3173649.8648274317,20074.22156254101,0.9993654637999003,0.9991198614970739,-0.10600000000025474
2015-10-20 20:43:00,0.0,-8498.864725038533,146336.95621201367,3186932.1068545883,20055.53142007323,0.9992073333109079,0.9989367953646152,-0.10600000000025474
2015-10-20 20:44:00,0.0,-8515.80815879589,150603.1356411617,3211656.3428852437,20081.01912441214,0.9990710374774698,0.9987819070443335,-0.10600000000025474
2015-10-20 20:45:00,0.0,-8515.173943803924,150050.72253287307,3232244.089783755,20066.57498778675,0.9989069103494715,0.9985974165724011,-0.10940000000025474
2015-10-20 20:46:00,0.0,-8513.052856253064,149130.79042445775,3222327.757200435,20059.762653581634,0.9990502864405738,0.9987595405211227,-0.11280000000025474
2015-10-20 20:47:00,0.0,-8504.494426014564,139449.16992326683,3219951.567746389,20059.154046959615,0.9990986031970703,0.99881460054042,-0.11620000000025474
